idx,rep,status,returncode,profile_json,stdout,samples_csv,init_time_ms,query_duration_ms,prompt_tokens,prompt_processing_rate,ttft_ms,generated_tokens,token_generation_time_ms,token_generation_rate,ssd_acceptance_rate,peak_rss_bytes,peak_pss_bytes,regression_candidate,error
0,0,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep0.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep0.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx0_rep0_process_samples.csv,2650.146,5097.716,1664,1094.0919189453125,1522.355,100,3573.55,27.983768463134766,1.9038461446762085,1022078976,1022078976,False,
0,1,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep1.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep1.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx0_rep1_process_samples.csv,2758.091,5124.77,1664,1102.535888671875,1510.783,100,3612.735,27.68012809753418,1.9038461446762085,1022091264,1022091264,False,
0,2,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep2.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep2.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx0_rep2_process_samples.csv,2748.056,5120.034,1664,1096.4912109375,1518.533,100,3599.683,27.780864715576172,1.9038461446762085,1022095360,1022095360,False,
0,3,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep3.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep3.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx0_rep3_process_samples.csv,2585.795,5091.372,1664,1090.5125732421875,1526.728,100,3562.849,28.067811965942383,1.9038461446762085,1022083072,1022083072,False,
0,4,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep4.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx0_rep4.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx0_rep4_process_samples.csv,2664.229,5133.019,1664,1094.0919189453125,1522.006,100,3609.696,27.703901290893555,1.9038461446762085,1022083072,1022083072,False,
7,0,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep0.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep0.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx7_rep0_process_samples.csv,2628.665,5166.731,1664,1091.7030029296875,1524.459,100,3640.42,27.46950912475586,1.8679245710372925,1022083072,1022083072,False,
7,1,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep1.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep1.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx7_rep1_process_samples.csv,2646.181,5154.063,1664,1097.69482421875,1517.383,100,3634.883,27.511829376220703,1.8679245710372925,1022083072,1022083072,False,
7,2,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep2.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep2.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx7_rep2_process_samples.csv,2611.179,5152.022,1664,1094.0919189453125,1521.388,100,3629.343,27.55352210998535,1.8679245710372925,1022083072,1022083072,False,
7,3,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep3.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep3.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx7_rep3_process_samples.csv,2612.458,5129.603,1664,1097.69482421875,1516.605,100,3611.719,27.68779182434082,1.8679245710372925,1022083072,1022083072,False,
7,4,ok,0,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep4.json,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/runs/run_idx7_rep4.stdout.txt,/mnt/workspace/develop/qwen3vl/profiles/qwen3vl_single_cdsp_device0_20260430_093542/samples/run_idx7_rep4_process_samples.csv,2629.11,5149.106,1664,1096.4912109375,1517.784,100,3629.677,27.551244735717773,1.8679245710372925,1022078976,1022078976,False,
